controle,id_iso,titulo,tipo_controle,propriedade_si,conceito_si,capacidade_op,dominio_seg,tema_controle,descricao_controle,questão_controle
0,5.1,políticas de segurança da informação,preventivo,"[confidencialidade, integridade, disponibilidade]",identificar,governança,"governança e ecossistema, resiliência",organizacional,"Convém que a política de segurança da informação e as políticas específicas por tema sejam definidas, aprovadas, publicadas e analisadas criticamente.",
1,5.2,papéis e responsabilidades pela segurança da informação,preventivo,"[confidencialidade, integridade, disponibilidade]",identificar,governança,"governança e ecossistema, proteção, resiliência",organizacional,Convém que os papéis e responsabilidades pela segurança da informação sejam definidos e alocados.,
2,5.3,segregação de funções,preventivo,"confidencialidade, integridade, disponibilidade",proteger,"governança, gestão de identidade e acesso",governança e ecossistema,organizacional,Convém que funções conflitantes sejam segregadas.,
3,5.4,responsabilidades da direção,preventivo,"confidencialidade, integridade, disponibilidade",identificar,governança,governança e ecossistema,organizacional,Convém que a direção assegure o cumprimento da segurança da informação.,
4,5.5,contato com autoridades,preventivo,"confidencialidade, integridade, disponibilidade",identificar,governança,governança e ecossistema,organizacional,Convém manter contato apropriado com autoridades relevantes.,
5,5.6,contato com grupos de interesse especial,preventivo,"confidencialidade, integridade, disponibilidade",identificar,governança,governança e ecossistema,organizacional,Convém manter contato apropriado com grupos de interesse especial.,
6,5.7,inteligência de ameaças,"preventivo, detectivo","confidencialidade, integridade, disponibilidade","identificar, detectar",gestão de ameaças e vulnerabilidades,defesa,organizacional,Informações relacionadas a ameaças devem ser coletadas e analisadas.,
7,5.8,segurança da informação no gerenciamento de projetos,preventivo,"confidencialidade, integridade, disponibilidade",proteger,governança,proteção,organizacional,Segurança da informação deve ser integrada ao gerenciamento de projetos.,
8,5.9,inventário de informações e outros ativos associados,preventivo,"confidencialidade, integridade, disponibilidade",identificar,gestão de ativos,governança e ecossistema,organizacional,Convém identificar e inventariar ativos associados à informação.,
9,5.10,uso aceitável de informações e outros ativos associados,preventivo,"confidencialidade, integridade, disponibilidade",proteger,proteção da informação,proteção,organizacional,Regras de uso aceitável devem ser identificadas e implementadas.,
10,5.11,devolução de ativos,"preventivo, corretivo",confidencialidade,proteger,gestão de ativos,proteção,organizacional,Ativos devem ser devolvidos após encerramento de vínculo.,
11,5.12,classificação das informações,preventivo,confidencialidade,"identificar, proteger",proteção da informação,proteção,organizacional,Informações devem ser classificadas conforme criticidade.,
12,5.13,rotulagem de informações,preventivo,confidencialidade,proteger,proteção da informação,proteção,organizacional,Procedimentos de rotulagem devem ser implementados.,
13,5.14,transferência de informações,"preventivo, detectivo","confidencialidade, integridade","proteger, detectar",proteção da informação,"proteção, defesa",organizacional,Regras e mecanismos seguros de transferência devem ser definidos.,
14,5.15,controle de acesso,preventivo,confidencialidade,proteger,gestão de identidade e acesso,proteção,organizacional,Regras de controle de acesso devem ser estabelecidas.,
15,5.16,gestão de identidade,preventivo,confidencialidade,proteger,gestão de identidade e acesso,proteção,organizacional,O ciclo de vida das identidades deve ser gerenciado.,
16,5.17,informações de autenticação,preventivo,confidencialidade,proteger,gestão de identidade e acesso,proteção,organizacional,Informações de autenticação devem ser protegidas.,
17,5.18,direitos de acesso,"preventivo, detectivo",confidencialidade,"proteger, detectar",gestão de identidade e acesso,"proteção, defesa",organizacional,Direitos de acesso devem ser provisionados e revisados.,
18,5.19,segurança da informação nas relações com fornecedores,preventivo,"confidencialidade, integridade, disponibilidade","identificar, proteger",segurança do relacionamento da cadeia de suprimentos,governança e ecossistema,organizacional,Processos e acordos com fornecedores devem contemplar segurança da informação.,
19,5.20,segurança da informação em acordos com fornecedores,preventivo,"confidencialidade, integridade, disponibilidade",proteger,segurança do relacionamento da cadeia de suprimentos,proteção,organizacional,Acordos devem incluir requisitos de segurança da informação.,
20,5.21,gerenciamento da segurança da informação na cadeia de suprimentos de TIC,preventivo,"confidencialidade, integridade, disponibilidade","identificar, proteger",segurança do relacionamento da cadeia de suprimentos,governança e ecossistema,organizacional,Riscos da cadeia de suprimentos de TIC devem ser gerenciados.,
21,5.22,"monitoramento, análise crítica e gestão de mudanças de serviços de fornecedores","detectivo, corretivo","disponibilidade, integridade","detectar, responder",segurança do relacionamento da cadeia de suprimentos,"defesa, resiliência",organizacional,Serviços de fornecedores devem ser monitorados e analisados criticamente.,
22,5.23,segurança da informação para uso de serviços em nuvem,preventivo,"confidencialidade, integridade, disponibilidade",proteger,segurança de sistemas e redes,proteção,organizacional,O uso seguro de serviços em nuvem deve ser estabelecido.,
23,5.24,planejamento e preparação para gestão de incidentes de segurança da informação,preventivo,"disponibilidade, integridade",responder,gestão de eventos da informação,defesa,organizacional,Convém planejar e preparar a gestão de incidentes.,
24,5.25,avaliação e decisão sobre eventos de segurança da informação,detectivo,"integridade, disponibilidade",detectar,gestão de eventos da informação,defesa,organizacional,Eventos devem ser avaliados para determinar incidentes.,
25,5.26,resposta a incidentes de segurança da informação,corretivo,"disponibilidade, integridade",responder,gestão de eventos da informação,defesa,organizacional,Incidentes devem ser respondidos conforme procedimentos definidos.,
26,5.27,aprendizado com incidentes de segurança da informação,corretivo,"disponibilidade, integridade",recuperar,garantia de segurança da informação,resiliência,organizacional,Conhecimento adquirido com incidentes deve ser utilizado para melhoria contínua.,
27,5.28,coleta de evidências,detectivo,integridade,detectar,legal e compliance,defesa,organizacional,Evidências devem ser coletadas e preservadas adequadamente.,
28,5.29,segurança da informação durante disrupção,corretivo,disponibilidade,recuperar,continuidade,resiliência,organizacional,Segurança deve ser mantida durante disrupções operacionais.,
29,5.30,prontidão das TIC para continuidade de negócios,corretivo,disponibilidade,recuperar,continuidade,resiliência,organizacional,TIC deve suportar continuidade dos negócios.,
30,5.31,"requisitos legais, estatutários, regulamentares e contratuais",preventivo,"confidencialidade, integridade, disponibilidade",identificar,legal e compliance,governança e ecossistema,organizacional,Requisitos legais e contratuais devem ser identificados e atendidos.,
31,5.32,direitos de propriedade intelectual,preventivo,confidencialidade,proteger,legal e compliance,proteção,organizacional,Direitos de propriedade intelectual devem ser protegidos.,
32,5.33,proteção de registros,preventivo,"integridade, disponibilidade",proteger,legal e compliance,proteção,organizacional,Registros devem ser protegidos contra perda e alteração.,
33,5.34,privacidade e proteção de dados pessoais,preventivo,confidencialidade,proteger,legal e compliance,proteção,organizacional,Privacidade e proteção de dados pessoais devem ser asseguradas.,
34,5.35,análise crítica independente da segurança da informação,detectivo,"integridade, disponibilidade",detectar,garantia de segurança da informação,defesa,organizacional,A segurança da informação deve ser analisada criticamente de forma independente.,
35,5.36,"conformidade com políticas, regras e normas para segurança da informação",detectivo,integridade,detectar,garantia de segurança da informação,defesa,organizacional,Conformidade deve ser monitorada e avaliada.,
36,5.37,procedimentos operacionais documentados,preventivo,"integridade, disponibilidade",proteger,governança,proteção,organizacional,Procedimentos operacionais devem ser documentados e mantidos.,
37,6.1,triagem,preventivo,"confidencialidade, integridade, disponibilidade",identificar,segurança em RH,governança e ecossistema,pessoas,Verificações de antecedentes devem ser realizadas antes da contratação quando apropriado.,
38,6.2,termos e condições de contratação,preventivo,"confidencialidade, integridade, disponibilidade",proteger,segurança em RH,governança e ecossistema,pessoas,Termos e condições de contratação devem estabelecer responsabilidades de segurança da informação.,
39,6.3,"conscientização, educação e treinamento em segurança da informação",preventivo,"confidencialidade, integridade, disponibilidade",proteger,segurança em RH,proteção,pessoas,Todo o pessoal deve receber conscientização e treinamento apropriado em segurança da informação.,
40,6.4,processo disciplinar,corretivo,integridade,responder,segurança em RH,defesa,pessoas,Deve existir processo disciplinar formal para violações de segurança da informação.,
41,6.5,responsabilidades após encerramento ou mudança de contratação,"preventivo, corretivo",confidencialidade,proteger,segurança em RH,proteção,pessoas,Responsabilidades de segurança devem permanecer válidas após desligamento ou mudança de função.,
42,6.6,acordos de confidencialidade ou não divulgação,preventivo,confidencialidade,proteger,proteção da informação,proteção,pessoas,Acordos de confidencialidade devem ser identificados e documentados.,
43,6.7,trabalho remoto,preventivo,"confidencialidade, integridade, disponibilidade",proteger,segurança de sistemas e redes,proteção,pessoas,Medidas de segurança devem ser implementadas para trabalho remoto.,
44,6.8,relato de eventos de segurança da informação,detectivo,"integridade, disponibilidade",detectar,gestão de eventos da informação,defesa,pessoas,Eventos de segurança da informação devem ser reportados pelos usuários de forma apropriada.,
45,7.1,perímetro de segurança física,preventivo,"confidencialidade, integridade, disponibilidade",proteger,segurança física,proteção,físico,Perímetros de segurança física devem ser definidos e utilizados para proteger áreas que contenham informações e outros ativos associados.,
46,7.2,entrada física,"preventivo, detectivo","confidencialidade, integridade","proteger, detectar",segurança física,"proteção, defesa",físico,Áreas seguras devem ser protegidas por controles apropriados de entrada física.,
